# 道具・家具・楽器・服・日用品（object）。薄い物（紙・カード・定規）は入れない。列: ja	reading	en	aliases	level	seed	hint（ジャンル。10 秒のヒント）	english（英語の答え。必須。en は裏プロンプトで答えには使わない）
# 洗濯ばさみ	せんたくばさみ	clothespin	clothes peg,peg	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# ティッシュ	てぃっしゅ	tissue box	tissue,tissues	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# ゴム手袋	ごむてぶくろ	rubber gloves	rubber glove	3	# 落とした: 生成テスト 60³(2026-09-21): 0 個
# ぞうきん	ぞうきん	dish cloth	rag,雑巾	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が布
# スポンジ	すぽんじ	kitchen sponge	sponge	3	# 落とした: 生成テスト 60³(2026-09-21): 0 個
# たわし	たわし	scrubbing brush	tawashi	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
ウクレレ	うくれれ	ukulele	ギター	2		楽器	ukulele
# バンジョー	ばんじょー	banjo	ギター	3		楽器	banjo	# 落とした: 日本で名前が通じない（本人・2026-09-21。spec 12 の 3 章）
チェロ	ちぇろ	cello	バイオリン	2		楽器	cello
# コントラバス	こんとらばす	double bass	ウッドベース,ベース	3		楽器	double bass,contrabass,upright bass	# 2026-09-21 誰でも知っているものだけにする（本人）
# フルート	ふるーと	flute		2	# 落とした: 生成テスト 60³(2026-09-21): 細い
# クラリネット	くらりねっと	clarinet		3	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# オーボエ	おーぼえ	oboe		3	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# リコーダー	りこーだー	recorder	縦笛	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う
ハーモニカ	はーもにか	harmonica		2		楽器	harmonica,mouth organ
# カスタネット	かすたねっと	castanets	castanet	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# トライアングル	とらいあんぐる	triangle instrument	triangle	3	# 落とした: 生成テスト 60³(2026-09-21): 細い
# シンバル	しんばる	cymbals	cymbal	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# ボンゴ	ぼんご	bongo drums	太鼓,たいこ,ドラム	3		楽器	bongo drums,bongo,bongos	# 落とした: 日本で名前が通じない（本人・2026-09-21。spec 12 の 3 章）
鈴	すず	jingle bell		2		楽器	jingle bell,sleigh bell,jingle bells
鐘	かね	temple bell	梵鐘,ぼんしょう,除夜の鐘	2		楽器	temple bell,bonsho
# 指揮棒	しきぼう	conductor baton	baton	3	# 落とした: 生成テスト 60³(2026-09-21): 細い
# 楽譜	がくふ	sheet music	music sheet,score	3	# 落とした: 生成テスト 60³(2026-09-21): 0 個
# イヤホン	いやほん	earphones	earbuds,earphone,イヤフォン	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# ジュークボックス	じゅーくぼっくす	jukebox		2		家電	jukebox	# 2026-09-21 誰でも知っているものだけにする（本人）
# アンプ	あんぷ	guitar amplifier	アンプリファイア	3		家電	guitar amplifier,amp,amplifier,guitar amp	# 2026-09-21 誰でも知っているものだけにする（本人）
水筒	すいとう	stainless steel water bottle	魔法瓶	2		お茶・コーヒーの道具	water bottle
ワイングラス	わいんぐらす	wine glass filled with red wine		2		テーブルに並ぶもの	wine glass,wineglass
虫眼鏡	むしめがね	magnifying glass with a wooden handle	ルーペ,拡大鏡	2		見る・調べる道具	magnifying glass,magnifier
# そろばん	そろばん	japanese soroban abacus	abacus,soroban	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が壁
ホッチキス	ほっちきす	red stapler	ステープラー	2		文房具	stapler,staple
# アイスクリームメーカー	あいすくりーむめーかー	ice cream maker machine	ice cream machine	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う
# ワッフルメーカー	わっふるめーかー	waffle maker	waffle iron	3	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# ホットプレート	ほっとぷれーと	electric hot plate griddle	hot plate	3	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# たこ焼き器	たこやきき	takoyaki pan	takoyaki maker	3	# 落とした: 生成テスト 60³(2026-09-21): 塊
# 餅つき機	もちつきき	mochi machine	mochi maker	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
ケーキスタンド	けーきすたんど	cake stand with cake		3		テーブルに並ぶもの	cake stand
# 菓子の缶	かしのかん	round cookie tin	cookie tin,缶,かん	3	# 落とした: 生成テスト 60³(2026-09-21): 薄い
ランチボックス	らんちぼっくす	red plastic lunch box	弁当箱,べんとうばこ,お弁当,弁当	3		入れ物	lunch box,lunchbox,bento box
クーラーボックス	くーらーぼっくす	cooler box	クーラー	2		入れ物	cooler,cooler box,ice box
# ピクニックのかご	ぴくにっくのかご	picnic hamper with lid	hamper	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# ゴミ収集箱	ごみしゅうしゅうばこ	green wheelie bin	ゴミ箱,ごみ箱,ゴミ	2		箱・入れ物	wheelie bin,dumpster,garbage bin,trash can	# 2026-09-21 甘さの見直し: 「ゴミ箱」に統合（spec 12 の 2-5）
# 郵便袋	ゆうびんぶくろ	mail sack	mailbag	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が布
救命浮き輪	きゅうめいうきわ	red and white life ring	浮き輪,うきわ,浮輪	2		海・プールのもの	life ring,life buoy,lifebuoy,life preserver
# 救命胴衣	きゅうめいどうい	orange life jacket	life jacket,life vest	3	# 落とした: 生成テスト 60³(2026-09-21): 薄い
ブイ	ぶい	red sea buoy	浮き	3		海・プールのもの	buoy
# 鳥かご	とりかご	birdcage with a bird	birdcage,bird cage	2	# 落とした: 生成テスト 60³(2026-09-21): 細い
# ハムスターの回し車	はむすたーのまわしぐるま	hamster wheel	hamster wheel	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# 犬のエサ皿	いぬのえさざら	dog bowl	dog bowl,pet bowl	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が犬
猫タワー	ねこたわー	cat tree tower	キャットタワー,キャットツリー	2		ペットのもの	cat tree,cat tower
# 犬の首輪	いぬのくびわ	dog collar	collar	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が犬
# 骨のおもちゃ	ほねのおもちゃ	dog bone chew toy	chew toy	3		おもちゃ		# まとめた: 骨 と同じ物（spec 12 の 2-5）
# 消防ホース	しょうぼうほーす	coiled fire hose	fire hose	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# スプリンクラー	すぷりんくらー	lawn sprinkler	sprinkler	3	# 落とした: 生成テスト 60³(2026-09-21): 薄い
バードハウス	ばーどはうす	wooden birdhouse	巣箱,すばこ,鳥小屋,とりごや	2		ペットのもの	wooden birdhouse,birdhouse,bird house
ガーデンチェア	がーでんちぇあ	adirondack chair	木の椅子	3		家具	adirondack chair,garden chair
# パラソル	ぱらそる	patio umbrella	parasol	3	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# バーベキューグリル	ばーべきゅーぐりる	barbecue grill	bbq grill,bbq	2	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# 焚き火台	たきびだい	fire pit	fire pit	3	# 落とした: 生成テスト 60³(2026-09-21): 薄い
薪ストーブ	まきすとーぶ	wood burning stove	暖炉,だんろ,ストーブ	3		家電	wood burning stove,wood stove
# ピザ窯	ぴざがま	pizza oven	pizza oven	3	# 落とした: 生成テスト 60³(2026-09-21): 0 個
井戸のポンプ	いどのぽんぷ	hand water pump	ポンプ,井戸,いど	3		街の機械	hand water pump,water pump,hand pump,pump
風見鶏	かざみどり	weather vane rooster		3		街の機械	weather vane rooster,weathervane,weather vane
# 日時計	ひどけい	sundial	sundial	3	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# 石臼	いしうす	stone mill	millstone,石うす	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う
# 金塊の山	きんかいのやま	pile of gold bars	gold bars	3	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# コインの山	こいんのやま	pile of gold coins	coins	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
王座	おうざ	golden throne	玉座,ぎょくざ,王様の椅子	2		家具	golden throne,throne
鎧	よろい	suit of medieval armor standing	甲冑,かっちゅう,アーマー	2		武器・防具	armor,armour,suit of armor
砲弾	ほうだん	cannonball	砲丸,ほうがん	3		武器・防具	cannonball,cannon ball
ダイナマイト	だいなまいと	bundle of dynamite	ばくだん,爆弾	2		武器・防具	dynamite,tnt,explosive
# ロケット花火	ろけっとはなび	firework rocket	fireworks	3	# 落とした: 生成テスト 60³(2026-09-21): 細い
ろうそく立て	ろうそくたて	candelabra with candles	燭台,しょくだい	3		火・明かり	candelabra,candlestick,candle holder
# 提灯行灯	ちょうちんあんどん	andon paper lamp	andon	3		照明		# まとめた: 提灯 と同じ物（spec 12 の 2-5）
# 座布団	ざぶとん	zabuton floor cushion	zabuton	3	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# 布団	ふとん	folded futon	futon	3	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# テレビ台	てれびだい	tv stand with tv	tv stand	3	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# 教壇	きょうだん	teacher podium	podium,lectern	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# 本のカート	ほんのかーと	library book cart	book cart	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が壁
# 展示ケース	てんじけーす	glass display case	display case	3	# 落とした: 生成テスト 60³(2026-09-21): 枠だけ
# ショーウィンドウ	しょーうぃんどう	shop window display	shop window	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が壁
# UFOキャッチャー	ゆーふぉーきゃっちゃー	claw crane machine	claw machine,crane game,クレーンゲーム	2	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
ゲームセンターの筐体	げーむせんたーのきょうたい	arcade cabinet	アーケード,ゲーム機,ゲーセン,筐体,きょうたい	2		ゲームの機械	arcade cabinet,arcade machine,arcade
# ピンボール	ぴんぼーる	pinball machine	pinball	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が画面
スロットマシン	すろっとましん	slot machine	スロット,パチスロ	2		ゲームの機械	slot machine,slot
ポップコーンマシン	ぽっぷこーんましん	popcorn machine cart	ポップコーン	2		お祭りの機械	popcorn machine cart,popcorn machine,popcorn maker
綿菓子機	わたがしき	cotton candy machine	綿あめ機,わたあめ機	3		お祭りの機械	cotton candy machine,cotton candy maker
かき氷機	かきごおりき	shaved ice machine	かき氷器	3		お祭りの機械	shaved ice machine,ice shaver
# コインランドリー	こいんらんどりー	laundromat washing machine	laundromat	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
券売機	けんばいき	ticket vending machine	自動販売機	3		街の機械	ticket vending machine,ticket machine
# 改札	かいさつ	train station ticket gate	ticket gate	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が風景
# カーブミラー	かーぶみらー	convex traffic mirror on a pole	traffic mirror	3	# 落とした: 生成テスト 60³(2026-09-21): 輪
# 花壇	かだん	raised flower bed	flower bed	3	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# 植木	うえき	topiary tree in a pot	topiary	3	# 落とした: 生成テスト 60³(2026-09-21): 色が抜ける
# 苔玉	こけだま	kokedama moss ball	苔,こけ	3		和のもの	kokedama moss ball,kokedama,moss ball	# 2026-09-21 誰でも知っているものだけにする（本人）
# 金魚すくい	きんぎょすくい	goldfish scooping pool	kingyo sukui	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う
# 射的	しゃてき	cork gun shooting gallery	shateki	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う
# ヨーヨー釣り	よーよーつり	water balloon yoyo pool	yoyo tsuri	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う
# お面	おめん	festival fox mask	mask,kitsune mask	2	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
# うちわ	うちわ	round paper fan uchiwa	uchiwa	3	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# すだれ	すだれ	bamboo blind sudare	sudare	3	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# 畳	たたみ	tatami mat	tatami	3	# 落とした: 生成テスト 60³(2026-09-21): 0 個
# 障子	しょうじ	shoji sliding door	shoji	3	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# ふすま	ふすま	fusuma sliding door	fusuma	3	# 落とした: 生成テスト 60³(2026-09-21): 枠だけ
# のれん	のれん	noren shop curtain	noren	3	# 落とした: 生成テスト 60³(2026-09-21): 薄い
# 神棚	かみだな	kamidana household shrine	kamidana	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が内部
# 仏壇	ぶつだん	butsudan buddhist altar	butsudan	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
お地蔵さん	おじぞうさん	jizo stone statue with red bib	地蔵,じぞう,お地蔵様	2		和のもの	jizo,jizo statue
狛犬	こまいぬ	komainu lion dog statue	獅子,しし	2		和のもの	komainu,lion dog,guardian dog
狐の石像	きつねのせきぞう	inari fox statue	お稲荷さん,稲荷	3		和のもの	fox statue,inari fox,stone fox
だるま落とし	だるまおとし	daruma otoshi toy		3		おもちゃ	daruma otoshi
# 竹馬	たけうま	bamboo stilts takeuma	takeuma	3	# 落とした: 生成テスト 60³(2026-09-21): 細い
# 竹とんぼ	たけとんぼ	bamboo dragonfly toy	taketombo	3	# 落とした: 生成テスト 60³(2026-09-21): 細い
# 福笑い	ふくわらい	fukuwarai face game	fukuwarai	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う
# めんこ	めんこ	menko cards	menko	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が接写
スーパーボール	すーぱーぼーる	bouncy rubber ball		3		スポーツ用品	bouncy rubber ball,bouncy ball,super ball,rubber ball
# シュノーケル	しゅのーける	snorkel and mask	snorkel	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# 足ひれ	あしひれ	swim fins	flippers,fins	3	# 落とした: 生成テスト 60³(2026-09-21): 薄い
ボディボード	ぼでぃぼーど	bodyboard	サーフボード	3		海・プールのもの	bodyboard,body board,boogie board
# 釣り竿	つりざお	fishing rod	fishing pole	3	# 落とした: 生成テスト 60³(2026-09-21): 細い
# 釣り針	つりばり	fish hook	hook	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# ルアー	るあー	fishing lure	lure	3	# 落とした: 生成テスト 60³(2026-09-21): 崩れる
# 魚籠	びく	fishing creel basket	かご,カゴ,籠	3		箱・入れ物	fishing creel basket,creel,fishing basket,basket	# 落とした: 日本で名前が通じない（本人・2026-09-21。spec 12 の 3 章）
# 虫取り網	むしとりあみ	butterfly net	bug net,insect net	3	# 落とした: 生成テスト 60³(2026-09-21): 絵が違う

ローラースケート	ろーらーすけーと	roller skates	ローラーブレード,インラインスケート	2		スポーツ用品	roller skates,roller skate
